ID,CaseNumber,Date,Block,IUCR,PrimaryType,Description,LocationDescription,Arrest,Domestic,Beat,District,Ward,CommunityArea,FBICode,XCoordinate,YCoordinate,Year,UpdatedOn,Latitude,Longitude,Location
11359733,JB322861,6/26/2018 0:00,065XX S CHAMPLAIN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,TRUE,FALSE,321,3,20,42,14,1181694,1861715,2018,07-03-2018 15:55,41.77577753,-87.609474,"(41.775777528, -87.609474002)"
11359767,JB322876,6/26/2018 0:13,077XX S KINGSTON AVE,460,BATTERY,SIMPLE,RESIDENCE,TRUE,FALSE,421,4,7,43,08B,1194533,1854177,2018,07-03-2018 15:55,41.75478652,-87.56265587,"(41.754786521, -87.562655871)"
11359775,JB322872,6/26/2018 0:10,098XX S HALSTED ST,520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,CTA BUS,TRUE,FALSE,2223,22,21,73,04A,1172709,1839753,2018,07-03-2018 15:55,41.71571375,-87.64305785,"(41.715713748, -87.643057853)"
11359829,JB322939,6/26/2018 2:38,011XX W 64TH ST,530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,APARTMENT,TRUE,TRUE,724,7,16,68,04A,1169609,1862354,2018,07-03-2018 15:55,41.77780162,-87.65375781,"(41.777801618, -87.653757812)"
11359860,JB322935,6/26/2018 1:40,048XX S WINCHESTER AVE,1360,CRIMINAL TRESPASS,TO VEHICLE,ALLEY,TRUE,FALSE,931,9,20,61,26,1164167,1872664,2018,07-03-2018 15:55,41.80620984,-87.67341821,"(41.806209835, -87.67341821)"
11359861,JB322929,6/26/2018 1:54,094XX S WABASH AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,RESIDENTIAL YARD (FRONT/BACK),TRUE,FALSE,634,6,6,49,15,1178375,1842344,2018,07-03-2018 15:55,41.72269726,-87.62222793,"(41.722697263, -87.62222793)"
11359864,JB322941,6/26/2018 1:00,090XX S LAFLIN ST,4310,OTHER OFFENSE,POSSESSION OF BURGLARY TOOLS,ALLEY,TRUE,FALSE,2222,22,21,73,26,1167921,1844788,2018,07-03-2018 15:55,41.72963455,-87.66044971,"(41.729634552, -87.660449713)"
11359898,JB322954,6/26/2018 3:27,032XX W MAYPOLE AVE,497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,APARTMENT,TRUE,TRUE,1123,11,28,27,04B,1154669,1900797,2018,07-03-2018 15:55,41.88360497,-87.70750184,"(41.88360497, -87.707501835)"
11359913,JB322982,6/26/2018 5:46,015XX N CLYBOURN AVE,460,BATTERY,SIMPLE,CTA PLATFORM,TRUE,FALSE,1822,18,43,8,08B,1170470,1910783,2018,07-03-2018 15:55,41.91067631,-87.64918707,"(41.910676312, -87.649187069)"
11359933,JB323001,6/26/2018 6:40,051XX S INGLESIDE AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE PORCH/HALLWAY,TRUE,FALSE,233,2,4,41,26,1183413,1871209,2018,07-03-2018 15:55,41.80179001,-87.60287669,"(41.801790005, -87.602876685)"
11359937,JB323000,6/26/2018 6:40,034XX N KEDZIE AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENTIAL YARD (FRONT/BACK),TRUE,TRUE,1733,17,33,21,26,1154441,1922763,2018,07-03-2018 15:55,41.94388612,-87.70775073,"(41.943886121, -87.707750734)"
11359961,JB323042,6/26/2018 8:00,006XX E 75TH ST,545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,CTA BUS,TRUE,FALSE,323,3,6,69,08A,1181616,1855414,2018,07-03-2018 15:55,41.75848875,-87.60995421,"(41.75848875, -87.609954205)"
11359978,JB323120,6/26/2018 8:48,009XX W 79TH ST,3731,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,STREET,TRUE,FALSE,621,6,17,71,24,1171258,1852448,2018,07-03-2018 15:55,41.7505824,-87.64800189,"(41.750582401, -87.648001894)"
11359980,JB323025,6/26/2018 7:33,070XX N RIDGE BLVD,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,TRUE,TRUE,2424,24,49,1,08B,1161227,1946773,2018,07-03-2018 15:55,42.00963196,-87.68213763,"(42.00963196, -87.682137633)"
11360030,JB323145,6/26/2018 8:40,073XX S ST LAWRENCE AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE PORCH/HALLWAY,TRUE,TRUE,323,3,6,69,26,1181505,1856525,2018,07-03-2018 15:55,41.76154001,-87.61032679,"(41.761540011, -87.610326786)"
11360036,JB323186,6/26/2018 10:06,019XX S ST LOUIS AVE,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,SIDEWALK,TRUE,FALSE,1024,10,24,29,18,1153404,1890304,2018,07-03-2018 15:55,41.85483625,-87.71242575,"(41.854836249, -87.712425748)"
11360045,JB323228,6/26/2018 10:30,025XX W ADAMS ST,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,TRUE,FALSE,1125,11,2,28,18,1159636,1898945,2018,07-03-2018 15:55,41.87842207,-87.6893136,"(41.878422066, -87.689313599)"
11360052,JB323227,6/26/2018 10:30,049XX N MILWAUKEE AVE,560,ASSAULT,SIMPLE,CTA STATION,TRUE,FALSE,1623,16,45,11,08A,1139431,1932207,2018,07-03-2018 15:55,41.97008868,-87.76269009,"(41.97008868, -87.762690091)"
